,Title,Author,Release date,Price $
359,Court of Greed and Gold,Eliza Raine,04-13-23,20
360,Break Her,Cassie Alexander,05-01-23,20
361,Dark Angel,John Sandford,04-11-23,32
362,Reckoning,Mark Goodwin,05-01-23,20
363,The True Love Experiment,Christina Lauren,05-16-23,24
364,Icebreaker,Hannah Grace,11-23-22,24
365,Tell Me Everything,Minka Kelly,05-02-23,19
366,The 23rd Midnight,James Patterson,05-01-23,29
367,"Assessment of Plant Diversity and Analysis of Community Structure, Economic Analysis Book",Clyde Mercier,05-08-23,7
368,COMO,Dr. Carlos Jaramillo,04-18-23,42
369,Murder at the Circus,Lee Strauss,05-01-23,15
370,Blood Prophecy,Mary Rundle,05-17-23,25
371,Bewitched,Laura Thalassa,04-18-23,25
372,Business Secrets,Jason Madejczyk,04-25-23,7
373,We Are Worthy,Alisha Williams,04-26-23,25
374,The Making of Another Major Motion Picture Masterpiece,Tom Hanks,05-09-23,38
375,The DNA Way,Kashif Khan,05-16-23,16
376,Somebody's Wife,Robbi Renee,05-19-23,20
377,Red Rising,Pierce Brown,01-28-14,35
378,Of Shadow and Moonlight,Luna Laurier,04-19-23,25
379,Changing Times at Harpers,Rosie Clarke,05-01-23,19
380,Break Her,Cassie Alexander,05-01-23,20
381,Dark Angel,John Sandford,04-11-23,32
382,Reckoning,Mark Goodwin,05-01-23,20
383,The True Love Experiment,Christina Lauren,05-16-23,24
384,Icebreaker,Hannah Grace,11-23-22,24
385,Tell Me Everything,Minka Kelly,05-02-23,19
386,The 23rd Midnight,James Patterson,05-01-23,29
387,"Assessment of Plant Diversity and Analysis of Community Structure, Economic Analysis Book",Clyde Mercier,05-08-23,7
388,COMO,Dr. Carlos Jaramillo,04-18-23,42
389,Murder at the Circus,Lee Strauss,05-01-23,15
390,Blood Prophecy,Mary Rundle,05-17-23,25
391,Bewitched,Laura Thalassa,04-18-23,25
392,Business Secrets,Jason Madejczyk,04-25-23,7
393,We Are Worthy,Alisha Williams,04-26-23,25
394,The Making of Another Major Motion Picture Masterpiece,Tom Hanks,05-09-23,38
395,The DNA Way,Kashif Khan,05-16-23,16
396,Somebody's Wife,Robbi Renee,05-19-23,20
397,Red Rising,Pierce Brown,01-28-14,35
398,Of Shadow and Moonlight,Luna Laurier,04-19-23,25
399,Changing Times at Harpers,Rosie Clarke,05-01-23,19
400,Only the Dead,Jack Carr,05-16-23,28
401,Mageling,J.L. Mullins,04-17-23,25
402,Ordinary Notes,Christina Sharpe,04-25-23,19
403,Wild New World,Dan Flores,10-25-22,21
404,Cadaver 1,Nick Clausen,03-27-23,20
405,"Million Dollar Consulting, Sixth Edition",Alan Weiss,04-04-23,17
406,Happily Ever Maybe?,Hailey Shore,05-02-23,40
407,The New World,Monsoon117,05-09-23,30
408,Counter Attack,Patricia Bradley,05-16-23,21
409,Quietly Hostile,Samantha Irby,05-16-23,28
410,The Daddy Diaries,Andy Cohen,05-09-23,26
411,A Kingdom of Flame and Fury,Whitney Dean,04-25-23,45
412,Ambrosia,C.N. Crawford,03-22-23,20
413,Dirty Thirty,Janet Evanovich,10-31-23,23
414,The Fine Print,Lauren Asher,01-17-23,18
415,Start Your Notary Public & Loan Signing Agent Business,LSAUSA Education,02-07-23,15
416,Champagne Wrath,Nicole Fox,04-25-23,25
417,Communication and Management of this Book,Vernadette Stevens,05-05-23,7
418,The Lost Hero,Rick Riordan,09-24-22,23
419,My Brand Compass,Terri-Karelle Reid,04-17-23,15
420,Only the Dead,Jack Carr,05-16-23,28
421,Mageling,J.L. Mullins,04-17-23,25
422,Ordinary Notes,Christina Sharpe,04-25-23,19
423,Wild New World,Dan Flores,10-25-22,21
424,Cadaver 1,Nick Clausen,03-27-23,20
425,"Million Dollar Consulting, Sixth Edition",Alan Weiss,04-04-23,17
426,Happily Ever Maybe?,Hailey Shore,05-02-23,40
427,The New World,Monsoon117,05-09-23,30
428,Counter Attack,Patricia Bradley,05-16-23,21
429,Quietly Hostile,Samantha Irby,05-16-23,28
430,The Daddy Diaries,Andy Cohen,05-09-23,26
431,A Kingdom of Flame and Fury,Whitney Dean,04-25-23,45
432,Ambrosia,C.N. Crawford,03-22-23,20
433,Dirty Thirty,Janet Evanovich,10-31-23,23
434,The Fine Print,Lauren Asher,01-17-23,18
435,Start Your Notary Public & Loan Signing Agent Business,LSAUSA Education,02-07-23,15
436,Champagne Wrath,Nicole Fox,04-25-23,25
437,Communication and Management of this Book,Vernadette Stevens,05-05-23,7
438,The Lost Hero,Rick Riordan,09-24-22,23
439,My Brand Compass,Terri-Karelle Reid,04-17-23,15
440,Birnam Wood,Eleanor Catton,03-07-23,25
441,The Accidental Contract,Kos Play,05-15-23,25
442,Final Day,Richard D. Wiles,05-09-23,25
443,Timeborne,Sara Samuels,05-02-23,25
444,Clive Cussler Fire Strike,Mike Maden,06-06-23,32
445,Wraith King: The Complete Series,Jack Porter,05-15-23,30
446,An American Beauty,Shana Abe,04-25-23,21
447,To Kill a Mockingbird,Harper Lee,07-08-14,20
448,The Hitchhiker's Guide to the Galaxy,Douglas Adams,04-28-05,14
449,The Five Dysfunctions of a Team,Patrick Lencioni,10-18-02,14
450,Manhandled,L. Blakely,05-10-23,20
451,Shoe Dog,Phil Knight,04-26-16,18
452,Profit First,Mike Michalowicz,02-21-17,18
453,I Have Some Questions for You,Rebecca Makkai,02-21-23,32
