,Title,Author,Release date,Price $
457,Petty: The Biography,Warren Zanes,12-15-15,22
458,How to Tell a Story,The Moth,04-26-22,17
459,Twelve Caesars,Mary Beard,09-28-21,21
460,The Mailroom,David Rensin,12-25-18,26
461,The Timeless Way of Building,Christopher Alexander,09-27-21,22
462,My Broken Language,Quiara Alegría Hudes,04-06-21,19
463,My Damage,Keith Morris,08-30-16,23
464,Famous Father Girl,Jamie Bernstein,06-12-18,21
465,Mount Fitz Roy (Dramatized Adaptation),Scott Sigler,04-01-23,34
466,Songs of Suffering,Joni Eareckson Tada,08-02-22,14
467,Broad Strokes,Bridget Quinn,07-04-17,21
468,The Jazz of Physics,Stephon Alexander,05-19-16,20
469,Do What You Want,Bad Religion,08-18-20,21
470,Fare Thee Well,Joel Selvin,06-19-18,20
471,The Last Castle,Denise Kiernan,09-26-17,26
472,Goth,Lol Tolhurst,09-26-23,29
473,Best. Movie. Year. Ever.,Brian Raftery,04-16-19,18
474,The Last Days of John Lennon,James Patterson,12-07-20,21
475,Story Solution,Eric Edson,11-03-21,22
476,Into the Void,Geezer Butler,06-06-23,32
477,Confess,Rob Halford,10-03-20,21
478,Sunshine Girl,Julianna Margulies,05-04-21,18
479,William Blake vs the World,John Higgs,05-03-22,14
480,Fortunate Son,John Fogerty,10-06-15,20
481,As Time Goes By,Bob Larbey,12-11-12,13
482,Toast on Toast,Steven Toast,10-22-15,14
483,Seriously...I'm Kidding,Ellen DeGeneres,10-04-11,20
484,Secrets of Screen Acting,Patrick Tucker,07-24-15,22
485,Neverwhere,Neil Gaiman,09-05-13,11
486,Waging Heavy Peace,Neil Young,09-25-12,20
487,This Is Your Brain on Music,Daniel J. Levitin,02-04-20,15
488,The Come Up,Jonathan Abrams,10-18-22,23
489,Stella Adler,Howard Kissel,01-04-22,17
