,Title,Author,Release date,Price $
310,The Untethered Soul,Michael A. Singer,12-12-11,24
311,The Secret,Rhonda Byrne,11-17-06,15
312,Good to Great,Jim Collins,07-13-10,20
313,Traction,Gino Wickman,12-21-12,17
314,Six of Crows,Leigh Bardugo,09-29-15,26
315,You Can't Joke About That,Kat Timpf,04-18-23,32
316,The Wisdom of the Bullfrog,Admiral William H. McRaven,04-04-23,22
317,The Valley,D.J. Molles,04-18-23,25
318,Uzi in the Urn,Dale Mayer,05-11-23,20
319,Forevermore,Dannika Dark,05-09-23,14
320,The Dying Place,Charly Cox,05-09-23,21
321,Empire of the Summer Moon,S. C. Gwynne,09-20-16,17
322,Spare,Prince Harry The Duke of Sussex,01-10-23,25
323,The Name of the Wind,Patrick Rothfuss,05-15-09,26
324,Dead to Me,J M Dalgliesh,03-27-23,20
325,Young Forever,Dr. Mark Hyman MD,02-21-23,32
326,All Who Are Weary,Sarah Hauser,04-25-23,15
327,Don't Look Back,Christine Caine,05-09-23,25
328,Beyond Happiness,Dr. Jennifer Guttman,10-06-22,30
329,The Fae King's Assassin,Alisha Klapheke,05-02-23,40
330,Essentialism,Greg McKeown,04-15-14,10
331,"Guns, Germs and Steel",Jared Diamond,01-18-11,24
332,The Rise and Fall of the Third Reich,William L. Shirer,07-16-10,35
333,It Didn't Start with You,Mark Wolynn,04-26-16,17
334,The Blade Itself,Joe Abercrombie,09-08-15,20
335,Grit,Angela Duckworth,05-03-16,15
336,The Millionaire Next Door,Thomas J. Stanley Ph.D.,10-27-00,10
337,Extreme Ownership,Jocko Willink,10-19-15,15
338,The Nightingale,Kristin Hannah,02-03-15,26
339,One True Loves,Taylor Jenkins Reid,06-10-16,30
340,The Intelligent Investor Rev Ed.,Benjamin Graham,07-07-15,20
341,The 5 Second Rule,Mel Robbins,02-22-17,17
342,Life in Five Senses,Gretchen Rubin,04-18-23,32
343,A Girl Called Samson,Amy Harmon,04-01-23,30
344,Never Lie,Freida McFadden,11-08-22,43
345,Haunting Adeline,H. D. Carlton,08-29-22,22
346,Brain Energy,Christopher M. Palmer MD,11-15-22,33
347,The Cornish Wedding Murder,Fiona Leitch,05-01-23,14
348,Corrupted Union,Jill Ramsower,04-13-23,20
349,"Right Man, Right Time",Meghan Quinn,03-07-23,25
350,The Shadow Docket,Stephen Vladeck,05-16-23,32
351,Dead Fall,Brad Thor,07-25-23,24
352,Beyond Disruption,W. Chan Kim,05-02-23,17
353,The Song of Achilles,Madeline Miller,03-06-12,25
354,Unpunished Deeds,David Archer,04-21-23,20
355,Small Mercies,Dennis Lehane,04-25-23,32
356,The Bride Wore White,Amanda Quick,05-02-23,24
357,Glow,Raven Kennedy,01-12-23,26
358,The Path of Least Resistance,Robert Fritz,05-05-23,20
359,"Villain for Hire, a Haremlit Slice of Life Adventure",Jay Aury,04-03-23,20
360,Made for Us,Natasha Madison,04-10-23,20
361,The PMP Project Management Professional Certification Exam Study Guide - PMBOK Seventh 7th Edition,SMG,04-14-23,25
362,The Heist,Elle Gray,05-01-23,20
363,Champagne Venom,Nicole Fox,04-03-23,25
364,Homecoming,Kate Morton,04-04-23,19
365,An Inheritance of Monsters,Cate Corvin,04-04-23,17
366,Inside the Devil's Nest,John Durgin,05-05-23,20
367,Stormcaller,Chris Wraight,05-06-23,33
368,Brute Force,Scott Meyer,04-10-23,20
369,Luciano,Eva Winners,03-13-23,25
370,The Comfort Zone,Kristen Butler,04-18-23,21
371,Demon DIY,Gwen Grayson,04-13-23,20
372,Plot Hole,Macronomicon,04-25-23,50
373,Culturally Responsive Teaching and the Brain,Zaretta Hammond,03-30-23,19
374,The Summer We Fell,Elizabeth O'Roark,04-06-23,20
375,A Little Taste,Tia Louise,04-21-23,20
376,The Enneagram of Emotional Intelligence,Scott Allender,04-25-23,17
377,The ASWB LMSW Licensed Master Social Worker Study Guide,SMG,03-10-23,25
378,No Human Contact,Pete Earley,04-25-23,21
379,How Data Happened,Chris Wiggins,03-21-23,21
380,Brute Force,Scott Meyer,04-10-23,20
381,How Data Happened,Chris Wiggins,03-21-23,21
382,The Comfort Zone,Kristen Butler,04-18-23,21
383,Demon DIY,Gwen Grayson,04-13-23,20
384,The Summer We Fell,Elizabeth O'Roark,04-06-23,20
385,Stormcaller,Chris Wraight,05-06-23,33
386,The Enneagram of Emotional Intelligence,Scott Allender,04-25-23,17
387,The ASWB LMSW Licensed Master Social Worker Study Guide,SMG,03-10-23,25
388,Never Saw You Coming,S L Scott,03-13-23,20
389,No Human Contact,Pete Earley,04-25-23,21
390,Difficult Conversations,Harvard Business Review,04-11-23,7
391,The Wishing Pool and Other Stories,Tananarive Due,04-18-23,24
392,The Slight Edge,Jeff Olson,05-09-23,16
393,The Billionaire's Valet,Lucy Lennox,05-10-23,7
394,Hello Beautiful,Ann Napolitano,03-14-23,32
395,The Ferryman,Justin Cronin,05-02-23,42
396,You Could Make This Place Beautiful,Maggie Smith,04-11-23,17
397,Gone to the Wolves,John Wray,05-02-23,49
398,Get Trump,Alan Dershowitz,05-05-23,18
399,Snakebit,Paul Doiron,04-25-23,5
400,Stolen Youth,Karol Markowicz,03-07-23,20
401,Vacuuming in the Nude,Peggy Rowe,03-03-23,20
402,The New Kingdom,Wilbur Smith,04-26-23,43
403,The Birdcage Murders,Karen Baugh Menuhin,03-13-23,20
404,Simply Lies,David Baldacci,04-18-23,32
405,Resurrection Walk,Michael Connelly,11-07-23,32
406,The Deborah Mantle,Christy Johnston,05-17-23,20
407,Dirty Filthy Billionaire,Laurelin Paige,05-16-23,10
408,Caution Death at Work,Rhys Dylan,03-17-23,20
409,Why Do I Do What I Don't Want to Do?,"Jonathan ""JP"" Pokluda",03-14-23,17
410,Night Angel Nemesis,Brent Weeks,04-25-23,57
411,Pen Pal,J.T. Geissinger,10-17-22,17
412,Sallow Bend,Alan Baxter,01-25-23,20
413,Echoes of You,Catherine Cowles,05-02-23,17
414,He Who Fights with Monsters 10,Shirtaloon,11-28-23,60
415,The Whole-Brain Child,Daniel J. Siegel,12-06-22,28
416,Change Your Brain Every Day,Daniel Amen,03-21-23,31
417,Library at Mount Char,Scott Hawkins,06-16-15,27
418,The Breakdown,B. A. Paris,07-18-17,28
419,Predictably Irrational,Dan Ariely,02-19-08,15
420,The Red Tent,Anita Diamant,11-21-00,21
421,Practical Magic,Alice Hoffman,11-06-12,15
422,A Land So Strange,Andres Resendez,10-07-11,17
423,"Never Eat Alone, Expanded and Updated",Keith Ferrazzi,07-22-14,27
424,Sula,Toni Morrison,07-23-07,14
425,Red Mars,Kim Stanley Robinson,04-04-08,42
426,Just Kids,Patti Smith,07-26-11,22
427,Black Hawk Down,Mark Bowden,03-09-12,35
428,Love in the Time of Cholera,Gabriel García Márquez,08-27-13,25
429,Teaching from Rest,Sarah Mackenzie,09-22-16,6
430,The Tale of Despereaux,Kate DiCamillo,02-05-04,14
431,Call Me by Your Name,André Aciman,10-03-17,15
432,Crank,Ellen Hopkins,08-13-08,15
433,Death by Meeting,Patrick Lencioni,03-25-04,11
434,The Thief,Megan Whalen Turner,05-16-17,29
435,The Hating Game,Sally Thorne,08-09-16,26
436,House of Suns,Alastair Reynolds,08-25-09,35
437,Who,Geoff Smart,10-01-08,15
438,The Art of Happiness,His Holiness the Dalai Lama,11-07-00,8
439,Out of My Mind,Sharon M. Draper,03-29-16,14
440,Masters of the Air,Donald L. Miller,12-08-11,40
441,No Easy Day,Mark Owen,09-04-12,16
442,13 Hours,Mitchell Zuckoff,09-09-14,24
443,Nice Girls Don't Get the Corner Office (10th Anniversary Edition),Lois P. Frankel,02-18-14,23
444,Hidden Figures,Margot Lee Shetterly,09-06-16,26
445,Manufacturing Consent,Edward S. Herman,04-18-17,26
446,The Love Dare,Stephen Kendrick,05-01-13,22
447,Cloud Atlas,David Mitchell,11-23-04,31
448,One Up On Wall Street,Peter Lynch,12-16-99,8
449,The Proper Care and Feeding of Husbands,Dr. Laura Schlessinger,02-26-04,17
450,The Gene,Siddhartha Mukherjee,05-17-16,17
451,The Name of the Rose,Umberto Eco,12-17-13,35
452,The Outward Mindset,The Arbinger Institute,05-09-16,13
453,The Big Picture,Sean Carroll,05-10-16,17
454,iGen,Jean M. Twenge Ph.D.,08-22-17,18
455,The Medici Manuscript,C.J. Archer,03-03-23,20
456,Never Split the Difference,Chris Voss,05-17-16,24
457,Think and Grow Rich,Napoleon Hill,10-16-07,25
458,The Devil in the White City,Erik Larson,12-29-02,24
459,Tragic Bonds,J Bree,01-24-23,25
460,Protection,Kelly Fox,04-25-23,20
461,Ruge o espera a ser devorado,Daniel Habif,03-17-23,21
462,A High Whisk Situation,H.Y. Hanna,04-11-23,20
463,How We Love,Milan Yerkovich,02-17-16,21
464,1-2-3 Magic,Thomas W. Phelan PhD,05-03-16,27
465,Esperanza Rising,Pam Munoz Ryan,10-31-03,11
466,Crossing the Chasm,Geoffrey A. Moore,12-11-12,32
467,The Butterfly Garden,Dot Hutchison,06-01-16,22
468,Setting the Table,Danny Meyer,09-28-06,25
469,The Art of Racing in the Rain,Garth Stein,05-13-08,21
470,Holly,Stephen King,09-05-23,28
471,If This Is Love,Jewel E. Ann,03-22-23,20
472,Lou and JonBenét,John Wesley Anderson,05-09-23,17
473,Just a Regular Boy,Catherine Ryan Hyde,05-02-23,25
474,You Are the One You've Been Waiting For,Richard Schwartz PhD,05-09-23,15
475,Spiritual Activator,Oliver Nino,04-25-23,21
476,How to Win Friends & Influence People,Dale Carnegie,09-16-04,17
477,How to Talk to Anyone,Leil Lowndes,09-01-15,15
478,The Way of Kings,Brandon Sanderson,08-31-10,27
479,The Total Money Makeover,Dave Ramsey,11-07-03,16
480,Ready Player One,Ernest Cline,08-16-11,20
481,On His Majesty's Secret Service,Charlie Higson,05-04-23,49
482,All the Time in the World,John Gierach,03-21-23,17
483,Death on Cromer Beach,Ross Greenwood,04-26-23,19
484,Falling Upward,Richard Rohr,06-08-11,24
485,The ChatGPT GoldRush: Profiting from the AI Revolution Online,Mark Adelson,05-04-23,15
486,Romantic Comedy (Reese's Book Club),Curtis Sittenfeld,04-04-23,35
487,Mac,Anna del Mar,04-11-23,25
488,"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,12-31-06,24
489,World War Z: The Complete Edition,Max Brooks,05-14-13,15
